name	title	href
MELLTORP / ÄLVSTA	Assembling IKEA furniture - MELLTORP - Table	https://www.youtube.com/watch?v=ZG4TJTDwxj8&pp=ygUuTUVMTFRPUlAgLyDDhExWU1RBIFRhYmxlIGFuZCAyIGNoYWlycyBhc3NlbWJseQ%3D%3D
MELLTORP / KÄTTIL	MELLTORP IKEA Kitchen Table and ADDE Chair Assembly	https://www.youtube.com/shorts/tJoN9Eaibdo
MELLTORP / KÄTTIL	IKEA MELLTORP Dining Table (Assembly & Review)	https://www.youtube.com/watch?v=exVIvB3VMmA&pp=ygUuTUVMTFRPUlAgLyBLw4RUVElMIFRhYmxlIGFuZCAyIGNoYWlycyBhc3NlbWJseQ%3D%3D
MELLTORP / KÄTTIL	Assembling IKEA furniture - MELLTORP - Table	https://www.youtube.com/watch?v=ZG4TJTDwxj8&pp=ygUuTUVMTFRPUlAgLyBLw4RUVElMIFRhYmxlIGFuZCAyIGNoYWlycyBhc3NlbWJseQ%3D%3D
MELLTORP / LIDÅS	MELLTORP IKEA Kitchen Table and ADDE Chair Assembly	https://www.youtube.com/shorts/tJoN9Eaibdo
MELLTORP / LIDÅS	Assembling IKEA furniture - MELLTORP - Table	https://www.youtube.com/watch?v=ZG4TJTDwxj8&pp=ygUtTUVMTFRPUlAgLyBMSUTDhVMgVGFibGUgYW5kIDIgY2hhaXJzIGFzc2VtYmx5
MELLTORP / LIDÅS	Melltrop IKEA Kitchen Table & ADDE Chair Assembly	https://www.youtube.com/watch?v=NasG9lfAtz0&pp=ygUtTUVMTFRPUlAgLyBMSUTDhVMgVGFibGUgYW5kIDIgY2hhaXJzIGFzc2VtYmx5
DOCKSTA	IKEA DOCKSTA  H	https://www.youtube.com/shorts/4CU5BBLXSK8
DOCKSTA	IKEA Shopping. IKEA table assembly review. IKEA recommended products.	https://www.youtube.com/watch?v=-R0DMcXH8H0&pp=ygUWRE9DS1NUQSBUYWJsZSBhc3NlbWJseQ%3D%3D
DOCKSTA	IKEA DOCKSTA  J	https://www.youtube.com/shorts/rcr0gBeqBvw
LISABO	IKEA Project : Lisabo Table	https://www.youtube.com/watch?v=QPJGHigBVXo&pp=ygUVTElTQUJPIFRhYmxlIGFzc2VtYmx5
LISABO	Faster IKEA assembly with LISABO table series	https://www.youtube.com/watch?v=IXBy2lkbtTQ&pp=ygUVTElTQUJPIFRhYmxlIGFzc2VtYmx5
